# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230730-07:08

R Allow
R+po+polp Allow
R+popl+po Allow
R+popl+polp Allow
MP Allow
MP+po+poap Allow
MP+popl+po Allow
MP+popl+poap Forbid
R+po+dmb.sy Allow
R+po+dmb.sylp Allow
R+popl+dmb.sy Forbid
R+popl+dmb.sylp Forbid
MP+po+dmb.sy Allow
MP+po+dmb.syap Allow
MP+popl+dmb.sy Forbid
MP+popl+dmb.syap Forbid
R+po+dmb.st Allow
R+po+dmb.stlp Allow
R+popl+dmb.st Allow
R+popl+dmb.stlp Allow
MP+po+dmb.st Allow
MP+po+dmb.stap Allow
MP+popl+dmb.st Allow
MP+popl+dmb.stap Forbid
R+po+dmb.ld Allow
R+po+dmb.ldlp Allow
R+popl+dmb.ld Allow
R+popl+dmb.ldlp Allow
MP+po+dmb.ld Allow
MP+po+dmb.ldap Allow
MP+popl+dmb.ld Forbid
MP+popl+dmb.ldap Forbid
MP+po+addr Allow
MP+po+addrap Allow
MP+popl+addr Forbid
MP+popl+addrap Forbid
2+2W Allow
2+2W+po+polp Allow
2+2W+po+popl Allow
2+2W+popl+polp Allow
S Allow
S+po+poap Allow
S+popl+po Allow
S+popl+poap Forbid
2+2W+dmb.sy+po Allow
2+2W+dmb.sylp+po Allow
2+2W+dmb.sy+popl Forbid
2+2W+dmb.sylp+popl Forbid
S+po+dmb.sy Allow
S+po+dmb.syap Allow
S+popl+dmb.sy Forbid
S+popl+dmb.syap Forbid
2+2W+dmb.st+po Allow
2+2W+dmb.stlp+po Allow
2+2W+dmb.st+popl Forbid
2+2W+dmb.stlp+popl Forbid
S+po+dmb.st Allow
S+po+dmb.stap Allow
S+popl+dmb.st Allow
S+popl+dmb.stap Forbid
2+2W+dmb.ld+po Allow
2+2W+dmb.ldlp+po Allow
2+2W+dmb.ld+popl Allow
2+2W+dmb.ldlp+popl Allow
S+po+dmb.ld Allow
S+po+dmb.ldap Allow
S+popl+dmb.ld Forbid
S+popl+dmb.ldap Forbid
S+po+data Allow
S+po+dataap Allow
S+popl+data Forbid
S+popl+dataap Forbid
R+polp+po Allow
R+polps Allow
R+poll+po Allow
R+poll+polp Allow
MP+polp+po Allow
MP+polp+poap Allow
MP+poll+po Allow
MP+poll+poap Forbid
R+polp+dmb.sy Allow
R+polp+dmb.sylp Allow
R+poll+dmb.sy Forbid
R+poll+dmb.sylp Forbid
MP+polp+dmb.sy Allow
MP+polp+dmb.syap Allow
MP+poll+dmb.sy Forbid
MP+poll+dmb.syap Forbid
R+polp+dmb.st Allow
R+polp+dmb.stlp Allow
R+poll+dmb.st Allow
R+poll+dmb.stlp Allow
MP+polp+dmb.st Allow
MP+polp+dmb.stap Allow
MP+poll+dmb.st Allow
MP+poll+dmb.stap Forbid
R+polp+dmb.ld Allow
R+polp+dmb.ldlp Allow
R+poll+dmb.ld Allow
R+poll+dmb.ldlp Allow
MP+polp+dmb.ld Allow
MP+polp+dmb.ldap Allow
MP+poll+dmb.ld Forbid
MP+poll+dmb.ldap Forbid
MP+polp+addr Allow
MP+polp+addrap Allow
MP+poll+addr Forbid
MP+poll+addrap Forbid
R+po+popa Allow
R+po+pola Allow
R+popl+popa Allow
R+popl+pola Forbid
MP+po+popa Allow
MP+po+poaa Allow
MP+popl+popa Allow
MP+popl+poaa Forbid
R+po+dmb.sypa Allow
R+po+dmb.syla Allow
R+popl+dmb.sypa Forbid
