# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230624-04:41

R Allow
R+po+polp Allow
R+popl+po Allow
R+popl+polp Allow
MP Allow
MP+po+poap Allow
MP+popl+po Allow
MP+popl+poap Forbid
MP+po+addr Allow
MP+po+addrap Allow
MP+popl+addr Forbid
MP+popl+addrap Forbid
2+2W Allow
2+2W+po+polp Allow
2+2W+po+popl Allow
2+2W+popl+polp Allow
S Allow
S+po+poap Allow
S+popl+po Allow
S+popl+poap Forbid
S+po+data Allow
S+po+dataap Allow
S+popl+data Forbid
S+popl+dataap Forbid
R+polp+po Allow
R+polps Allow
R+poll+po Allow
R+poll+polp Allow
MP+polp+po Allow
MP+polp+poap Allow
MP+poll+po Allow
MP+poll+poap Forbid
MP+polp+addr Allow
MP+polp+addrap Allow
MP+poll+addr Forbid
MP+poll+addrap Forbid
R+po+popa Allow
R+po+pola Allow
R+popl+popa Allow
R+popl+pola Forbid
MP+po+popa Allow
MP+po+poaa Allow
MP+popl+popa Allow
MP+popl+poaa Forbid
R+polp+popa Allow
R+polp+pola Allow
R+poll+popa Allow
R+poll+pola Forbid
MP+polp+popa Allow
MP+polp+poaa Allow
MP+poll+popa Allow
MP+poll+poaa Forbid
2+2W+polps Allow
2+2W+po+poll Allow
2+2W+polp+poll Allow
S+polp+po Allow
S+polp+poap Allow
S+poll+po Allow
S+poll+poap Forbid
S+polp+data Allow
S+polp+dataap Allow
S+poll+data Forbid
S+poll+dataap Forbid
2+2W+popls Forbid
2+2W+popl+poll Forbid
S+po+popl Allow
S+po+poal Allow
S+popls Forbid
S+popl+poal Forbid
S+po+datapl Allow
S+po+dataal Allow
S+popl+datapl Forbid
S+popl+dataal Forbid
2+2W+polls Forbid
S+polp+popl Allow
S+polp+poal Allow
S+poll+popl Forbid
S+poll+poal Forbid
S+polp+datapl Allow
S+polp+dataal Allow
S+poll+datapl Forbid
S+poll+dataal Forbid
SB Allow
SB+po+polp Allow
SB+po+popa Allow
SB+popa+polp Allow
SB+polps Allow
SB+po+pola Allow
SB+polp+pola Allow
SB+popas Allow
SB+popa+pola Allow
SB+polas Forbid
LB Allow
LB+po+poap Allow
LB+po+popl Allow
LB+popl+poap Forbid
LB+data+po Allow
LB+dataap+po Allow
LB+data+popl Forbid
LB+dataap+popl Forbid
LB+poaps Forbid
LB+po+poal Allow
LB+poap+poal Forbid
LB+data+poap Forbid
LB+dataap+poap Forbid
LB+data+poal Forbid
LB+dataap+poal Forbid
LB+popls Forbid
LB+popl+poal Forbid
LB+datapl+po Allow
LB+dataal+po Allow
LB+datapl+popl Forbid
LB+dataal+popl Forbid
LB+poals Forbid
LB+datapl+poap Forbid
LB+dataal+poap Forbid
LB+datapl+poal Forbid
LB+dataal+poal Forbid
LB+datas Forbid
LB+data+dataap Forbid
LB+data+datapl Forbid
LB+datapl+dataap Forbid
LB+dataaps Forbid
LB+data+dataal Forbid
LB+dataap+dataal Forbid
LB+datapls Forbid
LB+datapl+dataal Forbid
LB+dataals Forbid
Z6.4 Allow
W+RWC Allow
W+RWC+po+addr+po Allow
Z6.5 Allow
Z6.0 Allow
Z6.0+po+data+po Allow
Z6.3 Allow
ISA2 Allow
WRR+2W Allow
ISA2+po+data+po Allow
Z6.3+po+po+addr Allow
ISA2+po+po+addr Allow
WRR+2W+addr+po Allow
ISA2+po+data+addr Allow
3.2W Allow
Z6.1 Allow
Z6.1+po+po+data Allow
