Testcase           execs-genmc  time-genmc      execs-hmc  time-hmc      execs-genmc-deps time-genmc-deps
2+2W                        1       .04                1       .04                1       .04
2+2W+2sc+scf                1       .04	               1       .04	          1       .04
2+2W+3sc+rel1               1       .04	               1       .04	          1       .04
2+2W+3sc+rel2               1       .04	               1       .04	          1       .04
2+2W+4sc                    1       .04	               1       .04	          1       .04
2+2W+scfs                   1       .04	               1       .04	          1       .04
2CoWR                       4       .04	               4       .04	          4       .04
ainc/2                      2       .04	               2       .04	          2       .04
ainc/3                      6       .04	               6       .04	          6       .04
ainc/4                     24       .04	              24       .04	         24       .04
ainc/5                    120       .05	             120       .05	        120       .05
ainc/6                    720       .06	             720       .08	        720       .07
ainc/7                   5040       .21	            5040       .35	       5040       .33
barrier                     2       .04	               2       .04	          2       .04
big0                    82472       .71	           82472      1.74	      82472      1.43
binc/2                      4       .04	               4       .04	          4       .04
binc/3                     36       .04	              36       .04	         36       .04
binc/4                    576       .05	             576       .06	        576       .07
cas/2                       2       .05	               2       .04	          2       .04
cas/3                       3       .04	               3       .04	          3       .04
cas/4                       4       .04	               4       .04	          4       .04
cas/5                       5       .04	               5       .04	          5       .04
casrot/2                    2       .04	               2       .04	          2       .04
casrot/3                    5       .04	               5       .04	          5       .04
casrot/4                   14       .04	              14       .04	         14       .04
casrot/5                   43       .04	              43       .04	         43       .04
casrot/6                  144       .04	             144       .04	        144       .05
casrot/7                  523       .05	             523       .05	        523       .05
casrot/8                 2048       .06	            2048       .08	       2048       .08
casrot/9                 8597       .13	            8597       .21	       8597       .19
casw/2                      4       .04	               4       .04	          4       .04
casw/3                     24       .04	              24       .04	         24       .04
casw/4                    200       .04	             200       .06	        200       .05
casw/5                   2160       .08	            2160       .13	       2160       .11
ccr                         2       .04	               2       .04	          2       .04
chase-lev                  59       .05	              59       .06	         59       .06
cii                         6       .04	               6       .04	          6       .04
cinc/2                      8       .04	               8       .04	          8       .04
cinc/3                    216       .05	             216       .05	        216       .05
cinc/4                  13824       .35	           13824       .74	      13824       .72
CoA/1                       3       .04	               3       .04	          3       .04
CoA/2                      12       .04	              12       .04	         12       .04
CoA/3                      27       .04	              27       .04	         27       .04
CoA/4                      48       .04	              48       .04	         48       .04
CoA/5                      75       .04	              75       .04	         75       .04
commits/2                1359       .09	            1359       .16	       1359       .15
CoRR                        6       .04	               6       .04	          6       .04
CoRR0                       4       .04	               4       .04	          4       .04
CoRR1                      21       .04	              21       .04	         21       .04
CoRR2                      47       .04	              47       .04	         47       .04
CoRW                        2       .04	               2       .04	          2       .04
CoWR                        2       .04	               2       .04	          2       .04
default                     7       .04	               7       .04	          7       .04
dekker2-fixed/2             6       .04	               6       .05	          6       .04
dekker2-fixed/3             6       .04	               6       .05	          6       .04
dekker2-fixed/4             6       .05	               6       .05	          6       .05
dekker_f                    3       .04	               3       .04	          3       .04
eratosthenes/5            231       .05	             231       .05	        231       .05
hwqueue-ra               5483      2.88	            5483      5.29	       5483      5.05
inc/2                       3       .04	               3       .04	          3       .04
inc/3                      16       .04	              16       .04	         16       .04
inc/4                     125       .04	             125       .04	        125       .04
inc2w                       6       .04	               6       .04	          6       .04
inc+inc+RR+W+RR           600       .06	             600       .07	        600       .07
indexer/12                  8       .05	               8       .05	          8       .05
indexer/15               4096      2.50	            4096      4.41	       4096      3.78
IRIW-acq-sc                16       .04	              16       .04	         16       .04
JLT                         6       .04	               6       .03	          6       .04
LB                          3       .04	               3       .04	          3       .04
LB+incMPs                  15       .04	              15       .04	         15       .04
linuxrwlocks/             222       .06	             222       .08	        222       .08
lock2inc/2                  2       .04	               2       .04	          2       .04
